"","State","Year","sum_Population","mean_Model.based.Death.Rate","mean_Standard.Deviation","mean_Lower.Confidence.Limit","mean_Upper.Confidence.Limit","sum_Tot_Clms","sum_Tot_Opioid_Clms","mean_Opioid_Prscrbng_Rate","mean_Opioid_Prscrbng_Rate_1Y_Chg","mean_Opioid_Prscrbng_Rate_5Y_Chg","high_overdose_death_rate","perc_opioid_clms"
"93","Minnesota",2018,5608762,10.3516589655172,1.49544436781609,7.91081701149425,13.753425862069,23932488,806006,3.2,-0.753333333333333,-3.51333333333333,FALSE,3.36783204487557
"94","Minnesota",2019,5640053,10.8092433333333,1.56148666666667,8.26060034482759,14.3612318390805,22842514,641456,2.69,-0.51,-3.58,FALSE,2.80816726214987
"95","Minnesota",2020,5657342,13.999238045977,2.02197655172414,10.6989327586207,18.5986742528736,22799530,619494,2.56666666666667,-0.123333333333333,-2.97,FALSE,2.71713495848379
"96","Minnesota",2021,5707390,16.1581705747126,2.33357781609195,12.3492235632184,21.466374137931,22673330,626000,2.56,-0.00666666666666667,-2.11666666666667,FALSE,2.76095306688519
"97","Mississippi",2018,2982879,13.3366585365854,1.72785670731707,10.4493303658537,17.2055148780488,10857272,491856,4.3,-1,-3.18333333333333,FALSE,4.53019874605702
"98","Mississippi",2019,2978227,13.9261212195122,1.80415646341463,10.9112813414634,17.9658108536585,10706198,392972,3.52666666666667,-0.773333333333333,-3.65,FALSE,3.67050936289428
"99","Mississippi",2020,2966786,18.0357293902439,2.33614451219512,14.1318317073171,23.266518902439,9690744,319596,3.12666666666667,-0.4,-3.22333333333333,FALSE,3.29795111706593
"100","Mississippi",2021,2949965,20.8168295121951,2.69611695121951,16.3113309756098,26.8535697560976,10588336,321278,2.96,-0.166666666666667,-3.00666666666667,FALSE,3.03426336300624
"101","Missouri",2018,6125986,17.9882733913043,2.13846834782609,14.3971110434783,22.7596493043478,22496780,894078,3.97,-0.91,-2.9,FALSE,3.97424875915575
"102","Missouri",2019,6140475,18.7830506086957,2.23285452173913,15.0333729565217,23.7650147826087,21876222,709370,3.24,-0.73,-3.4,FALSE,3.24265314184506
"103","Missouri",2020,6151548,24.3251528695652,2.89100756521739,19.4701429565217,30.7755127826087,21175348,616784,2.91,-0.33,-3.07,FALSE,2.91274551898746
"104","Missouri",2021,6168187,28.0753877391304,3.33631234782609,22.4724920869565,35.5192425217391,22756470,607536,2.67,-0.24,-2.88,TRUE,2.66972865299407
"105","Montana",2018,1061818,13.9430583928571,2.67927428571429,9.80381625,20.2484328571429,5864562,555938,9.48,2.78,1.05,FALSE,9.47961672158978
